Year,MUV
1960,19.29183442
1961,19.66716194
1962,20.03414884
1963,19.66716194
1964,19.94240212
1965,20.13423618
1966,20.8765506
1967,21.06004406
1968,20.8765506
1969,21.99419255
1970,23.39541528
1971,24.60480395
1972,26.84008783
1973,31.12716215
1974,37.93310114
1975,42.12842873
1976,42.64554664
1977,46.09855981
1978,53.57174772
1979,59.76048146
1980,65.73235929
1981,65.8074248
1982,63.84738109
1983,62.15423696
1984,60.78637667
1985,60.1524902
1986,69.18537246
1987,75.81615861
1988,80.7371194
1989,80.25336393
1990,83.31625581
1991,82.48837269
1992,83.88727261
1993,86.62063242
1994,83.8293738
1995,91.83733071
1996,90.14996152
1997,85.90737072
1998,82.16894319
1999,80.59691032
2000,79.56445698
2001,76.57523186
2002,75.68418694
2003,79.62205629
2004,85.03055492
2005,87.71085754
2006,89.93182479
2007,95.43948571
2008,102.8396457
2009,96.46081584
2010,100
2011,108.8890008
2012,107.5333581
2013,106.0568624
2014,107.7304964
2015,108.9562062
2016,110.4666418
2017,112.0109887
2018,113.6487118
2019,115.3849038
2020,117.2066839
2021,119.0990226
2022,121.0493437
2023,123.0483021
2024,125.0893817
2025,127.1682521
